T1S-FQ,T1S-FA,T1S-FA_LLM,T1S-FA_LLM_R,T1S-FA_CIMBUR,T1S-FA_CIMBUR_R,T1S-FA_CFG,T1S-FA_CFG_R,T1S-FA_Query,T1S-FA_Query_R,T1S-FA_MT,T1S-FA_MT_R,T1S-FA_COVE,T1S-FA_COVE_R,T1S-FA_COVE_MT,T1S-FA_COVE_MT_R
what is the type of issue 100964?,"Analytics/Aggregations
bug","The type of issue 100964 is ""open"".",0,"The type of issue 100964 is ""open"".",0,The type of issue 100964 is an open issue.,0,"The type of issue 100964 is ""open"".",0,"The type of issue 100964 is ""open"".",0,"The type of issue 100964 is ""open"".",0.0,The type of issue 100964 is open.,0
Which team were involved in the reported failure in issue 94673?,Team Search,Team:Search,1,Search Team,1,The team involved in the reported failure in issue 94673 is the Search Team.,0,Team: Search,1,Team:Search,1,Team:Search played a role in the reported failure in issue 94673.,0.0,Team:Search was implicated in the reported failure in issue 94673.,0
Which elasticSearch version is associated with the reported failures in issue 95347?,8.8.0-SNAPSHOT,The Elasticsearch version associated with the reported failures in issue 95347 is 8.8.0-SNAPSHOT.,1,The ElasticSearch version linked to the failures reported in issue 95347 is 8.8.0-SNAPSHOT.,1,The elasticSearch version associated with the reported failures in issue 95347 is 8.8.0-SNAPSHOT.,1,8.8.0-SNAPSHOT,1,The Elasticsearch version associated with the reported failures in issue 95347 is 8.8.0-SNAPSHOT.,1,The Elasticsearch version associated with the reported failures in issue 95347 is not specified.,,The reported failures in issue 95347 are linked to Elasticsearch version 8.8.0-SNAPSHOT.,1
What Java Version is used in issue 100264?,bundled,"The Java Version used in issue 100264 is ""bundled"".",1,"The Java version specified in issue 100264 is ""bundled"".",1,"The Java Version used in issue 100264 is ""_bundled_"".",0,"The Java version specified in issue 100264 is ""_bundled_"".",0,"The Java Version being used in issue 100264 is ""bundled"".",1,"The Java Version being used in issue 100264 is ""bundled"".",1.0,"The Java Version being used for issue 100264 is ""bundled"".",1
which Elasticsearch version used in issue 97350?,"8.7, 8.8, 8.9","The Elasticsearch version used in issue 97350 is 8.7, 8.8, and 8.9.",1,"The Elasticsearch version used in issue 97350 is 8.7, 8.8, and 8.9.",1,"The Elasticsearch version used in issue 97350 is 8.7, 8.8, and 8.9.",1,"Elasticsearch version used in issue 97350 is 8.7, 8.8, 8.9.",1,"The Elasticsearch version used in issue 97350 is 8.7, 8.8, and 8.9.",1,The Elasticsearch versions used in issue 97350 are 8.7 and 8.8.,0.0,"The Elasticsearch version used in issue 97350 is 8.7, 8.8, and 8.9.",1
which Installed Plugin used in issue 96078?,"The installed plugin used in issue 96078 is ""none"".",There is no installed plugin used in issue 96078.,1,"The installed plugins mentioned in issue 96078 are ""none"".",1,"The Installed Plugin used in issue 96078 is ""none"".",1,"The installed plugins mentioned in issue 96078 are ""none"".",1,"The installed plugin used in issue 96078 is ""none"".",1,"The Installed Plugin used in issue 96078 is ""none"".",1.0,"The installed plugin used in issue 96078 is ""none"".",1
which team has been handling issue 104278,Distributed,The team responsible for managing issue 104278 is not specified in the database.,0, The team handling issue 104278 is the Distributed Team. ,1, The team handling issue 104278 is the Distributed Team. ,1,The team responsible for managing issue 104278 is not specified in the database.,0,The team responsible for managing issue 104278 is not specified in the database.,0,"No, issue 104278 has not been assigned to any team for handling.",0.0,No team has been specified as handling issue 104278 in the database.,0
which team has been handling issue 104931,Team:Data Management,The team that has been handling issue 104931 is not specified in the data available.,0,The team responsible for managing issue 104931 is Team:Data Management,0,The issue 104931 has not been assigned to any team.,0,The team responsible for managing issue 104931 is not specified in the database.,0,The team responsible for managing issue 104931 is not specified in the database.,0,The team handling issue 104931 is not specified in the available data.,0.0,The team responsible for handling issue 104931 is not specified in the database.,0
which exception occues in issue 104160?,java.lang.IllegalStateException:,No exception occurs in issue 104160.,0,"The exception encountered in issue 104160 is ""java.lang.IllegalStateException: Duplicate key datafeed-v3_linux_system_user_discovery"".",1,java.lang.IllegalStateException: Duplicate key datafeed-v3_linux_system_user_discovery (attempted merging values org.elasticsearch.xpack.core.ml.action.GetDatafeedRunningStateAction$Response$RunningState@7d2c9ddc and...,1,"The exception that occurred in issue 104160 is related to the GetDatafeedRunningStateAction in the ML (Machine Learning) team. The issue is currently open and was created on January 9, 2024, by droberts195. It has 1 comment and the body of the issue describes an exception trace observed in a serverless project. The issue is related to a Duplicate key datafeed-v3_linux_system_user_discovery error.",0,The exception that occurs in issue 104160 is '[ML] GetDatafeedRunningStateAction can fail if multiple local datafeed tasks exist'.,0,No exception occurs in issue 104160.,0.0,"The exception that occurs in issue 104160 is: ""[ML] GetDatafeedRunningStateAction can fail if multiple local datafeed tasks exist"".",0
which exception occues in issue 98652,java.lang.IllegalStateException:,Node is unable to join the cluster due to negative `version` in composable index template,0,"The exception that occurs in issue 98652 is ""java.lang.IllegalStateException: Negative longs unsupported"".",1,"java.lang.IllegalStateException: Negative longs unsupported, use writeLong or writeZLong for negative numbers [-3]",1,The exception that occurs in issue 98652 is related to Elasticsearch Version 8.9.1 and was also observed in version 8.7.0. Older versions are likely affected by this problem.,0,Node is unable to join the cluster due to negative `version` in composable index template.,0,Node is unable to join the cluster due to negative `version` in composable index template,0.0,Node is unable to join the cluster due to negative `version` in composable index template.,0
what is the exception type for issue 95917?,status_exception,The exception type for issue 95917 is related to the addition of the `behavioral_analytics-events-final_pipeline` in enterprise search.,0,"The exception type for issue 95917 is ""java.lang.IllegalArgumentException"".",0,The exception type for issue 95917 is java.lang.IllegalArgumentException.,0,The exception type for issue 95917 is '`EnterpriseSearchRestIT` failure'.,0,The exception type for issue 95917 is '`EnterpriseSearchRestIT` failure'.,0,The exception type for issue 95917 is related to the addition of the `behavioral_analytics-events-final_pipeline` in enterprise search.,0.0,The exception type for issue 95917 is '`EnterpriseSearchRestIT` failure'.,0
which file the exception in issue 103414 occurs?,FutureTask.java,"The exception in issue 103414 occurs in a file that contains information about Elasticsearch Version, Installed Plugins, Java Version, OS Version, and Problem Description.",0,"The exception for issue 103414 occurs in the ""java.util.concurrent.TimeoutException"" file.",0,The exception in issue 103414 occurs in the body of the file.,0,The exception in issue 103414 occurs in the body of the file.,0,The exception for issue 103414 occurs in the body of the file.,0,"The exception in issue 103414 occurs in a file that contains information about Elasticsearch Version, Installed Plugins, Java Version, OS Version, and the problem description ""When changing the size of a ML nodes in a cloud deployment, the..."".",0.0,The file name where the exception for issue 103414 occurs is not specified in the provided data.,0
What Java Version is used in issue 100130?,"Java Version used in issue 100130 is ""openjdk version 17.0.8""","Java Version used in issue 100130 is ""openjdk version 17.0.8""",1,"The Java version specified in issue 100130 is ""openjdk version 17.0.8"".",1,"openjdk version ""17.0.8"" 2023-07-18",1,"openjdk version ""17.0.8"" 2023-07-18",1,"The Java Version employed in issue 100130 is ""openjdk version 17.0.8"".",1,The Java Version used in issue 100130 is not verifiable in the logs.,0.0,"The Java Version being used for issue 100130 is ""openjdk version 17.0.8 2023-07-18"".",1
show the exception message of issue 98552,he exception message for issue 98552 is: cannot convert 8.11.0. Incompatible version,"This is causing a CI failure, but it seem to be a real problem with how `MLConfigVersion` is working on 8.11 nodes

From reading #97699, I think the expectation is that for nodes with a new (>8.10) ES release version, there will always be a node attribute with the ML config...",0,"The exception message for issue 98552 is: ""java.lang.IllegalArgumentException: Cannot convert 8.11.0. Incompatible version""",1,"java.lang.IllegalArgumentException: Cannot convert 8.11.0. Incompatible version
at __randomizedtesting.SeedInfo.seed([5E38DEFC54AFD4C4:D0A0E4F42F189B50]:0)
at java.lang.Thread.run(Thread.java:1623)",0,"This is causing a CI failure, but it seems to be a real problem with how `MLConfigVersion` is working on 8.11 nodes. From reading #97699, I think the expectation is that for nodes with a new (>8.10) ES release version, there will always be a node attribute with the ML config.",0,"The exception message for issue 98552 is: ""This is causing a CI failure, but it seem to be a real problem with how `MLConfigVersion` is working on 8.11 nodes"".",0,"This is causing a CI failure, but it seem to be a real problem with how `MLConfigVersion` is working on 8.11 nodes. The issue with `MLConfigVersion` causing problems on 8.11 nodes is related to a CI failure and a real problem with how `MLConfigVersion` is working on those nodes. The expectation is that for nodes with a new (>8.10) ES release version, there should always be a node attribute with the ML config.",0.0,"The exception message for issue 98552 is: ""This is causing a CI failure, but it seem to be a real problem with how `MLConfigVersion` is working on 8.11 nodes\n\nFrom reading #97699, I think the expectation is that for nodes with a new (>8.10) ES release version, there will always be a node attribute with the ML config..."".",0
what is the stack version of isseu 100311,The stack version mentioned in issue 100311 is 8.10.2.,8.10.2,0,The stack version mentioned in issue 100311 is 8.10.2.,1,The stack version of issue 100311 is 8.10.2.,1,The stack version of issue 100311 is 8.10.2.,1,The stack version of issue 100311 is 8.10.2.,1,The stack version of issue 100311 is 8.10.2.,1.0,The stack version of issue 100311 is 8.10.2.,1
Give me the exception message reported in issue 105206,"FieldExistsQuery requires that the field indexes doc values, norms or vectors, but field '_primary_term' exists and indexes neither of these data structures","Snapshot restored failed to allocate replica shards, though it did allocate a primary shard. The issue seems to stem from the following Lucene...",0,"Caused by: java.lang.IllegalStateException: FieldExistsQuery requires that the field indexes doc values, norms or vectors, but field '_primary_term' exists and indexes neither of these data structures.",1,"Caused by: java.lang.IllegalStateException: FieldExistsQuery requires that the field indexes doc values, norms or vectors, but field '_primary_term' exists and indexes neither of these data structures

org.elasticsearch.indices.recovery.RecoveryFailedException: [typeahead-v0][0]: Recovery...",1,"Snapshot restored failed to allocate replica shards, though it did allocate a primary shard. The issue seems to stem from the following Lucene...",0,"Snapshot restored failed to allocate replica shards, though it did allocate a primary shard. The issue seems to stem from the following Lucene...",0,"Snapshot restore failed to allocate replica shards, though it did allocate a primary shard.",0.0,"Snapshot restored failed to allocate replica shards, though it did allocate a primary shard. The issue seems to stem from the following Lucene...",0
What os Version is used in issue 105206?,cloud,The OS Version used in issue 105206 is cloud,1,The operating system version specified in issue 105206 is cloud,1,"The OS Version used in issue 105206 is ""cloud"".",1,"The operating system version specified in issue 105206 is ""cloud"".",1,"The OS Version used in issue 105206 is ""cloud"".",1,"The OS Version ""cloud"" can be verified in the details of issue 105206.",1.0,"The OS Version used in issue 105206 is ""cloud"".",1
which kills data nodes in issue 103018?,Using Debug.explain kills data nodes,"The issue creator ""ong-ar"" kills data nodes in issue 103018.",0,"The information regarding the data nodes that are killed in issue 103018 is as follows:
- Issue Number: 103018
- Title: Using `Debug.explain` kills data nodes.
- State: Closed
- Number of Comments: 4
- Created Date: 2023-12-05
- Closed Date: 2023-12-09
- Issue Creator: ong-ar
- Labels: >bug, :Core/Infra/Scripting, Team:Core/Infra, v8.11.3
- Issue Assignees: stu-elastic",0,"The issue 103018 was created by ""ong-ar"" and the body of the issue contains information about Elasticsearch Version 8.11.1, Installed Plugins, Java Version, OS Version, and the problem that is causing the data nodes to be killed.",0,"The issue 103018 titled ""Using `Debug.explain` kills data nodes"" was closed with 4 comments. It was created on 2023-12-05 and closed on 2023-12-09 by the issue creator ong-ar. The labels associated with this issue are '>bug, :Core/Infra/Scripting, Team:Core/Infra, v8.11.3'. The issue assignee was stu-elastic and it was related to Elasticsearch Version 8.11.1.",0,Using `Debug.explain` kills data nodes in issue 103018.,1,The issue number where data nodes are killed is 94839.,0.0,"The issue creator ""ong-ar"" is responsible for killing data nodes in issue 103018.",0
which team is reponsible for issue 98076?,Team:Analytics,"Team responsible for issue 98076 is ""romseygeek"".",0,The team responsible for issue 98076 is Team:Analytics,1,"The team responsible for issue 98076 is ""romseygeek"".",0,"Team responsible for issue 98076 is ""romseygeek"".",0,"The responsibility to address issue 98076 lies with the assignee ""romseygeek"".",0,Team responsible for issue 98076 is romseygeek.,0.0,"The responsibility to address issue 98076 lies with the assignee ""romseygeek"".",0
which test fails in issue 105822?,./gradlew :server:test,Test cases depends on the locale info,0,The failing test in issue 105822 is related to test cases depending on the locale info.,0,"The test that fails in issue 105822 is ""Test cases depends on the locale info"".",0,"The failing test in issue 105822 is titled ""Test cases depends on the locale info"" and the body contains detailed information about the failure.",0,Test cases depends on the locale info,0,Test cases depends on the locale info. There is a specific step or condition that triggers the test failure related to locale info.,0.0,"The test that is failing in issue 105822 is ""Test cases depends on the locale info"".",0
how can SecurityUsageTransportAction leak memory in 102111?,SecurityUsageTransportAction can leak memory by double invoking REST transport listener,There are no results in the database for the given question.,0,"The memory leak issue in SecurityUsageTransportAction in 102111 was caused by double invoking the REST transport listener, leading to memory leakage on the REST layer by trying to send a failure response twice.",1,"There are no results for the given query, so it is not possible to determine how SecurityUsageTransportAction can leak memory in 102111.",1,The memory leak issue in 102111 related to SecurityUsageTransportAction is that the `org.elasticsearch.xpack.security.SecurityUsageTransportAction#masterOperation` can leak memory on the REST layer by trying to send a failure response twice.,1,Possible ways for SecurityUsageTransportAction to cause memory leaks in 102111 are by trying to send a failure response twice on the REST layer.,1,SecurityUsageTransportAction cannot leak memory by double invoking REST transport listener in issue number 102111.,1.0,The possible way for SecurityUsageTransportAction to cause memory leaks in 102111 is by trying to send a failure response twice. `org.elasticsearch.xpack.security.SecurityUsageTransportAction#masterOperation` can leak memory on the REST layer by trying to send a failure response twice.,1
what is cause of the exception in issue 103765?,java.lang.NullPointerException,The cause of the exception in issue 103765 is that queries with duplicated aggregations don't work in a mixed cluster between versions 8.11 and 8.12+.,0,The exception in issue 103765 is caused by a java.lang.NullPointerException when trying to invoke 'org.elasticsearch.xpack.esql.planner.Layout$ChannelAndType.channel()' because 'input' is null. This exception is related to an issue where queries with duplicated aggregations do not work in a mixed cluster between versions 8.11 and 8.12+.,1,The cause of the exception in issue 103765 is a java.lang.NullPointerException.,1,The cause of the exception in issue 103765 is that queries with duplicated aggregations don't work in a mixed cluster between versions 8.11 and 8.12+.,0,The cause of the exception in issue 103765 is that queries with duplicated aggregations don't work in a mixed cluster between versions 8.11 and 8.12+.,0,The cause of the exception in issue 103765 is that queries with duplicated aggregations don't work in a mixed cluster between versions 8.11 and 8.12+.,0.0,The cause of the exception in issue 103765 is that queries with duplicated aggregations don't work in a mixed cluster between versions 8.11 and 8.12+.,0
what is the priority of issue 96594,high,"The priority of issue 96594 is '>bug, :Search/Search, Team:Search'.",0,The priority level for issue 96594 is '>bug :Search/Search Team:Search'.,0,The priority of issue 96594 is '>bug :Search/Search Team:Search'.,0,"The priority level of issue 96594 is '>bug, :Search/Search, Team:Search'.",0,"The priority level for issue 96594 is '>bug, :Search/Search, Team:Search'.",0,The priority of issue 96594 is bug related to Search/Search in the Search team.,0.0,"The priority of issue 96594 is '>bug, :Search/Search, Team:Search'.",0
in which method the exception occurs in issue 100264?,org.elasticsearch.xpack.security.authc.oidc.OpenIdConnectAuthenticator$2.failed,The exception occurs in the body of the issue 100264.,0,The exception occurs in the method `org.elasticsearch.xpack.security.authc.oidc.OpenIdConnectAuthenticator$2.failed` in issue 100264.,1,"The exception occurs in the method ""org.elasticsearch.xpack.security.authc.oidc.OpenIdConnectAuthenticator$2.failed"" in issue 100264.",1,The exception occurs in the body of the issue 100264.,0,The exception occurs in the method related to configuring a proxy in Elasticsearch for issue 100264.,0,The exception is not specifically related to a method in issue 100264. The body of the issue 100264 contains information about configuring a proxy in Elasticsearch in at least 2 places.,0.0,"The exception occurs in the body of the issue 100264, where it describes a problem related to configuring a proxy in Elasticsearch.",0
what is the applicable brance for issue 96639?,8.8,"The applicable branch for issue 96639 is ':Search/Search, >test-failure, Team:Search, low-risk'.",0,The branch relevant to issue 96639 is ':Search/Search >test-failure Team:Search low-risk'.,0,"The applicable branch for issue 96639 is "":Search/Search >test-failure Team:Search low-risk"".",0,"Branch relevant to issue 96639 is ':Search/Search, >test-failure, Team:Search, low-risk'.",0,"The appropriate branch for issue 96639 is ':Search/Search, >test-failure, Team:Search, low-risk'.",0,"The applicable branch for issue 96639 is ':Search/Search, low-risk'.",0.0,"The applicable branch for issue 96639 is ':Search/Search, >test-failure, Team:Search, low-risk'.",0
What os Version is used in issue 100082?,macOS 13.5,macOS 13.5,1,macOS 13.5,1,macOS 13.5,1,macOS 13.5,1,macOS 13.5,1,macOS 13.5,1.0,The operating system version used in issue 100082 is macOS 13.5.,0
what error occurs in issue 101455?,org.elasticsearch.ElasticsearchException$1,"The error that occurs in issue 101455 is ""Cannot invoke 'java.lang.CharSequence.length()' because 'text' is null"".",0,"The error message for issue 101455 is: ""Cannot invoke ""java.lang.CharSequence.length()"" because ""text"" is null"".",0,"The error that occurs in issue 101455 is: org.elasticsearch.ElasticsearchException$1: Cannot invoke ""java.lang.CharSequence.length()"" because ""text"" is null.",0,"Since merging https://github.com/elastic/elasticsearch/commit/4ca793ec1abeb986f8d1302884b8d64fd8dcdcbb

Two queries in the `elastic/logs` benchmarks are now failing with `Cannot invoke ""java.lang.CharSequence.length()"" because ""text"" is null`.",0,"The error that occurs in issue 101455 is ""Cannot invoke 'java.lang.CharSequence.length()' because 'text' is null"".",0,"The error that occurs in issue 101455 is ""Cannot invoke 'java.lang.CharSequence.length()' because 'text' is null"".",0.0,"The error happening in issue 101455 is ""Cannot invoke 'java.lang.CharSequence.length()' because 'text' is null"".",0
"in the mapping, what is store in the text field in issue 99183?","ESQL loads `text` fields that are either stored in the index (having `""store"": true` in the mapping) or by parsing the `_source` and extracting the text value.","In the mapping, the text field in issue 99183 stores the following information: ""ESQL loads `text` fields that are either stored in the index (having `""store"": true` in the mapping) or by parsing the `_source` and extracting the text value. Text fields support [synthetic..."".",1,"ESQL loads `text` fields that are either stored in the index (having `""store"": true` in the mapping) or by parsing the `_source` and extracting the text value.",1,"ESQL loads `text` fields that are either stored in the index (having `""store"": true` in the mapping) or by parsing the `_source` and extracting the text value. Text fields support [synthetic...",1,"ESQL loads `text` fields that are either stored in the index (having `""store"": true` in the mapping) or by parsing the `_source` and extracting the text value. Text fields support synthetic...",1,"ESQL loads `text` fields that are either stored in the index (having `""store"": true` in the mapping) or by parsing the `_source` and extracting the text value. Text fields support synthetic...",1,There are no results matching the search query.,0.0,"ESQL loads `text` fields that are either stored in the index (having ""store"": true in the mapping) or by parsing the _source and extracting the text value. Text fields support [synthetic...",1
What os Version is used in issue 105068?,Darwin,The OS Version used in issue 105068 is Darwin,1,The operating system version specified in issue 105068 is Darwin,1,The OS Version used in issue 105068 is Darwin.,1,The operating system version specified in issue 105068 is Darwin.,1,The operating system version used in issue 105068 is Darwin.,1,"The OS Version used in issue 105068 is Darwin, but it is not the only OS Version used in that issue.",1.0,The OS Version used in issue 105068 is Darwin.,1
"In which line number of HierarchyCircuitBreakerService.java , the error occurs in issue100887",414,"In the issue with number 100887, the error occurs in the HierarchyCircuitBreakerService.java file.",0,The error in issue 100887 cannot be traced back to a specific line number in HierarchyCircuitBreakerService.java.,0,"The error occurs in issue100887 in the body of the issue, but the line number in HierarchyCircuitBreakerService.java is not provided in the database.",0,The error location in HierarchyCircuitBreakerService.java mentioned in issue 100887 is related to circuit breaking exceptions when updating index templates or modifying a data stream. The error returned may mislead users into thinking there is an issue with their request size.,0,"In the issue with number 100887, the error occurs in the HierarchyCircuitBreakerService.java file. The specific line number where the error occurs is not provided in the available data.",0,The error occurs in issue100887 in the file HierarchyCircuitBreakerService.java.,0.0,The error related to issue100887 in HierarchyCircuitBreakerService.java does not have a specific line number mentioned in the provided information.,0
how many test failed in issue 95013?,3,3,1,There were 3 test failures recorded in issue 95013.,1,Three tests failed in issue 95013.,0,The number of test failures in issue 95013 is 3.,1,3,1,"The test failures in issue 95013 were related to the ""Analytics/Aggregations"" module or component.",0.0,3 tests failed in issue 95013.,1
"highlighting which match_only_text fields, exception occurs in issue 100071?",match_only_text,"The exception occurs in the ""Problem Description"" field.",0,"The fields in issue 100071 that experience exceptions, specifically related to match_only_text fields, are related to highlighting on a ""match_only_text"" field with a ""match_phrase"" query. The exception encountered is a `FetchPhaseExecutionException` caused by an `index_out_of_bounds_exception` when highlighting ""match_only_text"" fields.",1,"The exception occurs in the ""match_only_text"" fields is `index_out_of_bounds_exception`.",1,"Number: 100071
Title: `index_out_of_bounds_exception` when highlighting ""match_only_text"" fields
State: closed
Comments: 2
Created_at: 2023-09-29
Issue_creator: cbuescher
Labels: >bug, :Search/Highlighting, Team:Search, v8.11.0
Milestone: None
Body: We recently found errors in some of the metrics dashboards that could be narrowed down to highlighting on a ""match_only_text"" field with a ""match_phrae"" query. This problem only seems to surface with several segments, so I wrote a test linked in this...",1,"The issue 100071 occurs when highlighting a ""match_only_text"" field with a ""match_phrase"" query.",1,"The exception occurs in the ""Problem Description"" field.",0.0,"The ""match_only_text"" field with a ""match_phrase"" query is highlighted as causing the exception in issue 100071.",1
What went wrong: in issue 97494,Could not compile build file 'C:\Users\jenkins\AppData\Local\Temp\junit4118947683707987252\build.gradle'.,"Title: [CI] StringTemplatePluginTest test substitution failing
State: closed
Comments: 2
Created at: 2023-07-10
Closed at: 2023-07-11
Issue Creator: edsavage
Labels: :Core/Infra/Core, >test-failure, Team:Core/Infra, test-windows
Milestone: None
Body: Also failing

StringTemplatePluginTest 禄 test basic conditional
StringTemplatePluginTest 禄 test if then else
StringTemplatePluginTest 禄 output file already present and up to date
StringTemplatePluginTest 禄 test substitution
StringTemplatePluginTest 禄 output file already present but not up to...",0,"The issue in issue 97494 is related to the StringTemplatePluginTest test substitution failing. The failure is occurring in the test basic conditional, test if then else, output file already present and up to date, test substitution, and output file already present but not up to date.",0,"Title: [CI] StringTemplatePluginTest test substitution failing
State: closed
Comments: 2
Created at: 2023-07-10
Closed at: 2023-07-11
Issue Creator: edsavage
Body: Also failing

StringTemplatePluginTest 禄 test basic conditional
StringTemplatePluginTest 禄 test if then else
StringTemplatePluginTest 禄 output file already present and up to date
StringTemplatePluginTest 禄 test substitution
StringTemplatePluginTest 禄 output file already present but not up to date

Exception and Failure Stack Trace: at org.gradle.testkit.runner.internal.DefaultGradleRunner.run(DefaultGradleRunner.java:362)
at org.elasticsearch.gradle.internal.test.NormalizeOutputGradleRunner.build(NormalizeOutputGradleRunner.java:147)",0,"The issue number 97494 titled '[CI] StringTemplatePluginTest test substitution failing' was closed with 2 comments. It was created on 2023-07-10 and closed on 2023-07-11 by edsavage. The labels associated with this issue are ':Core/Infra/Core, >test-failure, Team:Core/Infra, test-windows'. The issue details include failures in various tests related to StringTemplatePluginTest, such as test basic conditional, test if then else, output file already present and up to date, test substitution, and more.",0,"The issue with number 97494 was titled ""[CI] StringTemplatePluginTest test substitution failing"", it was closed with 2 comments. It was created on 2023-07-10 and closed on 2023-07-11 by edsavage. The labels associated with this issue were ':Core/Infra/Core, >test-failure, Team:Core/Infra, test-windows'. The body of the issue mentioned that tests like StringTemplatePluginTest 禄 test basic conditional, StringTemplatePluginTest 禄 test if then else, StringTemplatePluginTest 禄 output file already present and up to date, StringTemplatePluginTest 禄 test substitution, and StringTemplatePluginTest 禄 output file already present but not up to... were failing. The problem in issue 97494 was caused by failing test substitutions in the StringTemplatePluginTest.",0,"The issue with number 97494 was titled ""[CI] StringTemplatePluginTest test substitution failing"", it was closed with 2 comments. It was created on 2023-07-10 and closed on 2023-07-11 by edsavage. The labels associated with this issue were ':Core/Infra/Core, >test-failure, Team:Core/Infra, test-windows'. The body of the issue mentioned that tests like StringTemplatePluginTest 禄 test basic conditional, StringTemplatePluginTest 禄 test if then else, StringTemplatePluginTest 禄 output file already present and up to date, StringTemplatePluginTest 禄 test substitution, and StringTemplatePluginTest 禄 output file already present but not up to... were failing. The problem in issue 97494 was caused by failing test substitutions in the StringTemplatePluginTest.",0.0,"Title: [CI] StringTemplatePluginTest test substitution failing
State: closed
Comments: 2
Created at: 2023-07-10
Closed at: 2023-07-11
Issue Creator: edsavage
Labels: :Core/Infra/Core, >test-failure, Team:Core/Infra, test-windows
Milestone: None
Body: Also failing

StringTemplatePluginTest 禄 test substitution",0
which Elasticsearch version used in issue 104981?,8.12.0,The Elasticsearch version used in issue 104981 is 8.12.0.,1,Elasticsearch version used in issue 104981 is 8.12.0.,1,The Elasticsearch version used in issue 104981 is 8.12.0.,1,The Elasticsearch version used in issue 104981 is 8.12.0.,1,The Elasticsearch version used in issue 104981 is 8.12.0.,1,The Elasticsearch version used in issue 104981 is 8.12.0.,1.0,The Elasticsearch version used in issue 104981 is 8.12.0.,1
show me the server log in issue 103840,java.util.concurrent.ExecutionException:,"The server log in issue 103840 is:

### Elasticsearch Version

7.10.1

### Java Version

jdk11

### OS Version

4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29

### Problem Description

In our product, there are two cases showing that the file-system corruption, but the shard is green, which seems...",0,"The server log details for issue 103840 are as follows:

Title: It lasted for several days to throw the exception: failed to load bitset
Body: 
### Elasticsearch Version

7.10.1

### Java Version

jdk11

### OS Version

4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29

### Problem Description

In our product, there are two cases showing that the file-system corruption, but the shard is green, which seems...

Exception and Failure Stack Trace: 
java.util.concurrent.ExecutionException: java.io.EOFException: read past EOF: MMapIndexInput(path=""/data/nodes/0/indices/PFK_L3OGRBicJkxAcdDw1g/114/index/_x8jv.cfs"") [slice=_x8jv_Lucene80_0.dvd] [slice=docs]
at org.elasticsearch.common.cache.Cache.computeIfAbsent(Cache.java:436)...",1,"### Elasticsearch Version

7.10.1

### Java Version

jdk11

### OS Version

4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29

### Problem Description

In our product, there are two cases showing that the file-system corruption, but the shard is green, which seems...",0,"The server log details provided in issue 103840 include the Elasticsearch Version 7.10.1, Java Version jdk11, and OS Version 4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29. The problem description mentions cases of file-system corruption with green shards.",0,"The server log in issue 103840 includes information about the Elasticsearch Version (7.10.1), Java Version (jdk11), OS Version (4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29), and the Problem Description related to file-system corruption.",0,"The server log in issue 103840 includes information about the Elasticsearch Version (7.10.1), Java Version (jdk11), OS Version (4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29), and the Problem Description related to file-system corruption.",0.0,"The server log in issue 103840 provides the following information:

### Elasticsearch Version

7.10.1

### Java Version

jdk11

### OS Version

4.14.81.bm.29-amd64 #1 SMP Debian 4.14.81.bm.29

### Problem Description

In our product, there are two cases showing that the file-system corruption, but the shard is green, which seems...",0
which leads to array_index_out_of_bounds_exception in issue 100964?,Date histogram leads to array_index_out_of_bounds_exception,There is no issue with number 100964 in the database.,0,"The cause of the ArrayIndexOutOfBoundsException in issue 100964 is ""Index 0 out of bounds for length 0"" due to the following stack trace: ""Caused by: java.lang.ArrayIndexOutOfBoundsException: Index 0 out of bounds for length 0\nat org.elasticsearch.server@8.9.2/org.elasticsearch.search.aggregations.bucket.range.RangeAggregator.hasOverlap(RangeAggregator.java:883)"".",0,"The issue 100964 titled ""Date histogram leads to array_index_out_of_bounds_exception (tried on ES demo website)"" is currently open and has 1 comment. It was created on 2023-10-17 by zitounh. The body of the issue describes an error that occurs when running a query on the Elasticsearch demo website. The exception and failure stack trace indicate that the error is caused by a java.lang.ArrayIndexOutOfBoundsException.",1,The cause of the ArrayIndexOutOfBoundsException in issue 100964 is related to a date histogram that leads to the exception when tried on the Elasticsearch demo website.,0,The issue 100964 leads to an array_index_out_of_bounds_exception due to a query error on the Elasticsearch official demo.,0,"The issue 100964 is titled ""Date histogram leads to array_index_out_of_bounds_exception"", it has 1 comment, was created on 2023-10-17 by zitounh, and has not been closed yet.",1.0,The occurrence of an array_index_out_of_bounds_exception in issue 100964 is due to a query error on the Elasticsearch official demo.,0
who has been assigned the issue 94673?,cbuescher,The issue 94673 has been assigned to cbuescher.,1,The assignee of issue 94673 is cbuescher.,1,The issue 94673 has been assigned to cbuescher.,1,"The assignee of issue 94673 is ""cbuescher"".",1,cbuescher,1,The issue 94673 has been assigned to cbuescher.,1.0,cbuescher,1
